,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,puyh,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2010-01-04 21:00:00,0.0,0.0,-0.0385,0.0160434170792,0.0,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-04 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-04 00:00:00+0000', tz='UTC', offset='C'), 'id': '996c82dba7d24d1c992d5ac4df2340fa', 'filled': 0}]",2010-01-04 21:00:00+00:00,2010-01,2010-01-04 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,1,[],0.0385
2010-01-05 21:00:00,0.0,0.0,-0.0377,0.0192090794198,0.145113530937,0.0,0.0,100000.0,0.0,0.0,-0.0377,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-05 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-05 00:00:00+0000', tz='UTC', offset='C'), 'id': 'bce3a4f366e74adcb938ebdf82a3a48e', 'filled': 0}]",2010-01-05 21:00:00+00:00,2010-01,2010-01-05 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,2,[],0.0377
2010-01-06 21:00:00,0.0,0.0,-0.0385,0.0197650788937,0.131850343958,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-06 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-06 00:00:00+0000', tz='UTC', offset='C'), 'id': '2747203d7cda41eea8f812ac860bb24e', 'filled': 0}]",2010-01-06 21:00:00+00:00,2010-01,2010-01-06 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,3,[],0.0385
2010-01-07 21:00:00,0.0,0.0,-0.0385,0.0238453641577,0.109566483827,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-07 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-07 00:00:00+0000', tz='UTC', offset='C'), 'id': '95fb35ca361d43e6a8f326b2794a4b44', 'filled': 0}]",2010-01-07 21:00:00+00:00,2010-01,2010-01-07 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,4,[],0.0385
2010-01-08 21:00:00,0.0,0.0,-0.0383,0.0267958072308,0.0973182249573,0.0,0.0,100000.0,0.0,0.0,-0.0383,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-08 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-08 00:00:00+0000', tz='UTC', offset='C'), 'id': 'a7bd0b584e7c4e1e90d65679bdf09100', 'filled': 0}]",2010-01-08 21:00:00+00:00,2010-01,2010-01-08 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,5,[],0.0383
2010-01-11 21:00:00,0.0,0.0,-0.0385,0.028589368385,0.0900676477357,0.0,0.0,100000.0,0.0,0.0,-0.0385,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-11 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-11 00:00:00+0000', tz='UTC', offset='C'), 'id': '424b84d413614c269ac8ea5c6674aabb', 'filled': 0}]",2010-01-11 21:00:00+00:00,2010-01,2010-01-11 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,6,[],0.0385
2010-01-12 21:00:00,0.0,0.0,-0.0374,0.0189400013044,0.11798692217,0.0,0.0,100000.0,0.0,0.0,-0.0374,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-12 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-12 00:00:00+0000', tz='UTC', offset='C'), 'id': 'abd69b24828f4679bed5fb685bc3620d', 'filled': 0}]",2010-01-12 21:00:00+00:00,2010-01,2010-01-12 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,7,[],0.0374
2010-01-13 21:00:00,0.0,0.0,-0.038,0.0274236199965,0.11369490369,0.0,0.0,100000.0,0.0,0.0,-0.038,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-13 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-13 00:00:00+0000', tz='UTC', offset='C'), 'id': '79f42f5aa41645f19dccb00f3d1d16b6', 'filled': 0}]",2010-01-13 21:00:00+00:00,2010-01,2010-01-13 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,8,[],0.038
2010-01-14 21:00:00,0.0,0.0,-0.0376,0.0299165866003,0.106479087097,0.0,0.0,100000.0,0.0,0.0,-0.0376,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-14 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-14 00:00:00+0000', tz='UTC', offset='C'), 'id': 'b31d9988f69e45a58a1236f1ec01f799', 'filled': 0}]",2010-01-14 21:00:00+00:00,2010-01,2010-01-14 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,9,[],0.0376
2010-01-15 21:00:00,0.0,0.0,-0.037,0.018769665008,0.122902145906,0.0,0.0,100000.0,0.0,0.0,-0.037,0.0,,0,0,0,0,0.0,0.0,"[{'status': 0, 'created': Timestamp('2010-01-15 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(24, symbol=u'600000', asset_name=None, exchange=u'', start_date=None, end_date=None, first_traded=None, auto_close_date=None), 'dt': Timestamp('2010-01-15 00:00:00+0000', tz='UTC', offset='C'), 'id': '2dd7744c62114d04a93eaae0edf2ae4d', 'filled': 0}]",2010-01-15 21:00:00+00:00,2010-01,2010-01-15 14:31:00+00:00,0.0,100000.0,[],<zipline._protocol.SidView object at 0x0000000009612728>,0.0,,0,0,0,0.0,100000.0,0.0,0.0,10,[],0.037
