,MA1,MA2,PnL,Price,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,cash,date,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,shares,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,status,trading_days,transactions,treasury_period_return,value
2011-01-03 21:00:00,113.498,113.498,0.0,113.498016,0.0,0.0,-0.0336,0.0113148276377,0.0,0.0,0.0,100000.0,2011-01-03,100000.0,0.0,0.0,-0.0336,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-03 21:00:00+00:00,2011-01,2011-01-03 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,1,[],0.0336,100000.0
2011-01-04 21:00:00,113.4665,113.4665,0.0,113.435483,0.0,0.0,-0.0336,0.00998690869422,0.14174770822,0.0,0.0,100000.0,2011-01-04,100000.0,0.0,0.0,-0.0336,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-04 21:00:00+00:00,2011-01,2011-01-04 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,2,[],0.0336,100000.0
2011-01-05 21:00:00,113.652666667,113.652666667,0.0,114.025079,0.0,0.0,-0.035,0.0150440855685,0.100230782267,0.0,0.0,100000.0,2011-01-05,100000.0,0.0,0.0,-0.035,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-05 21:00:00+00:00,2011-01,2011-01-05 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,3,[],0.035,100000.0
2011-01-06 21:00:00,113.69,113.69,0.0,113.801746,0.0,0.0,-0.0344,0.0128891899166,0.0994813969297,0.0,0.0,100000.0,2011-01-06,100000.0,0.0,0.0,-0.0344,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-06 21:00:00+00:00,2011-01,2011-01-06 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,4,[],0.0344,100000.0
2011-01-07 21:00:00,113.6676,113.6676,0.0,113.578412,0.0,0.0,-0.0334,0.0110206297785,0.0933597144986,0.0,0.0,100000.0,2011-01-07,100000.0,0.0,0.0,-0.0334,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-07 21:00:00+00:00,2011-01,2011-01-07 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,5,[],0.0334,100000.0
2011-01-10 21:00:00,113.628833333,113.628833333,0.0,113.435483,0.0,0.0,-0.0332,0.00962913461369,0.086674632577,0.0,0.0,100000.0,2011-01-10,100000.0,0.0,0.0,-0.0332,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-10 21:00:00+00:00,2011-01,2011-01-10 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,6,[],0.0332,100000.0
2011-01-11 21:00:00,113.658571429,113.658571429,0.0,113.83748,0.0,0.0,-0.0337,0.0133901313565,0.0801332753487,0.0,0.0,100000.0,2011-01-11,100000.0,0.0,0.0,-0.0337,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-11 21:00:00+00:00,2011-01,2011-01-11 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,7,[],0.0337,100000.0
2011-01-12 21:00:00,113.809375,113.809375,0.0,114.864815,0.0,0.0,-0.034,0.0225183245303,0.0841995436054,0.0,0.0,100000.0,2011-01-12,100000.0,0.0,0.0,-0.034,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-12 21:00:00+00:00,2011-01,2011-01-12 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,8,[],0.034,100000.0
2011-01-13 21:00:00,113.905777778,113.905777778,0.0,114.677209,0.0,0.0,-0.0334,0.0207690552849,0.0822982532618,0.0,0.0,100000.0,2011-01-13,100000.0,0.0,0.0,-0.0334,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-13 21:00:00+00:00,2011-01,2011-01-13 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,9,[],0.0334,100000.0
2011-01-14 21:00:00,114.066,114.066,0.0,115.508016,0.0,0.0,-0.0335,0.0283069674751,0.081684187237,0.0,0.0,100000.0,2011-01-14,100000.0,0.0,0.0,-0.0335,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-14 21:00:00+00:00,2011-01,2011-01-14 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,10,[],0.0335,100000.0
2011-01-18 21:00:00,114.215,114.215,0.0,115.70455,0.0,0.0,-0.0339,0.029722340697,0.0777944097312,0.0,0.0,100000.0,2011-01-18,100000.0,0.0,0.0,-0.0339,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-18 21:00:00+00:00,2011-01,2011-01-18 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,11,[],0.0339,100000.0
2011-01-19 21:00:00,114.244583333,114.244583333,0.0,114.570013,0.0,0.0,-0.0337,0.0193060245463,0.0945437567558,0.0,0.0,100000.0,2011-01-19,100000.0,0.0,0.0,-0.0337,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-19 21:00:00+00:00,2011-01,2011-01-19 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,12,[],0.0337,100000.0
2011-01-20 21:00:00,114.257923077,114.257923077,0.0,114.418148,0.0,0.0,-0.0347,0.0179860649551,0.0914184970893,0.0,0.0,100000.0,2011-01-20,100000.0,0.0,0.0,-0.0347,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-20 21:00:00+00:00,2011-01,2011-01-20 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,13,[],0.0347,100000.0
2011-01-21 21:00:00,114.287857143,114.287857143,0.0,114.677209,0.0,0.0,-0.0344,0.0204430208114,0.0879398656567,0.0,0.0,100000.0,2011-01-21,100000.0,0.0,0.0,-0.0344,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-21 21:00:00+00:00,2011-01,2011-01-21 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,14,[],0.0344,100000.0
2011-01-24 21:00:00,114.357266667,114.357266667,0.0,115.329352,0.0,0.0,-0.0343,0.0263986121656,0.0866179600703,0.0,0.0,100000.0,2011-01-24,100000.0,0.0,0.0,-0.0343,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-24 21:00:00+00:00,2011-01,2011-01-24 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,15,[],0.0343,100000.0
2011-01-25 21:00:00,114.4219375,114.4219375,0.0,115.391878,0.0,0.0,-0.0335,0.02666902977,0.0838892887929,0.0,0.0,100000.0,2011-01-25,100000.0,0.0,0.0,-0.0335,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-25 21:00:00+00:00,2011-01,2011-01-25 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,16,[],0.0335,100000.0
2011-01-26 21:00:00,114.505294118,114.505294118,0.0,115.838545,0.0,0.0,-0.0345,0.0310025043215,0.0818219780753,0.0,0.0,100000.0,2011-01-26,100000.0,0.0,0.0,-0.0345,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-26 21:00:00+00:00,2011-01,2011-01-26 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,17,[],0.0345,100000.0
2011-01-27 21:00:00,114.595222222,114.595222222,0.0,116.124418,0.0,0.0,-0.0342,0.0333163890304,0.0793956039767,0.0,0.0,100000.0,2011-01-27,100000.0,0.0,0.0,-0.0342,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-27 21:00:00+00:00,2011-01,2011-01-27 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,18,[],0.0342,100000.0
2011-01-28 21:00:00,114.569,114.569,0.0,114.096547,0.0,0.0,-0.0336,0.0148690807996,0.10532723068,0.0,0.0,100000.0,2011-01-28,100000.0,0.0,0.0,-0.0336,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-28 21:00:00+00:00,2011-01,2011-01-28 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,19,[],0.0336,100000.0
2011-01-31 21:00:00,114.58825,114.58825,0.0,114.95414,0.0,0.0,-0.0342,0.02264557398,0.105373947068,0.0,0.0,100000.0,2011-01-31,100000.0,0.0,0.0,-0.0342,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-01-31 21:00:00+00:00,2011-01,2011-01-31 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,20,[],0.0342,100000.0
2011-02-01 21:00:00,114.693285714,114.693285714,0.0,116.794418,0.0,0.0,-0.0348,0.0397172087435,0.115978354693,0.0,0.0,100000.0,2011-02-01,100000.0,0.0,0.0,-0.0348,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-02-01 21:00:00+00:00,2011-02,2011-02-01 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,21,[],0.0348,100000.0
2011-02-02 21:00:00,114.778636364,114.778636364,0.0,116.571085,0.0,0.0,-0.0352,0.036886560102,0.11425102588,0.0,0.0,100000.0,2011-02-02,100000.0,0.0,0.0,-0.0352,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-02-02 21:00:00+00:00,2011-02,2011-02-02 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,22,[],0.0352,100000.0
2011-02-03 21:00:00,114.867826087,114.867826087,0.0,116.830146,0.0,0.0,-0.0358,0.0393275980488,0.11164701375,0.0,0.0,100000.0,2011-02-03,100000.0,0.0,0.0,-0.0358,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2011-02-03 21:00:00+00:00,2011-02,2011-02-03 14:31:00+00:00,0.0,100000.0,[],0.0,--,,0,0,0,0.0,100000.0,0.0,0.0,--,23,[],0.0358,100000.0
