行业名称,股票代码,股票名称,起始日期,结束日期
电子,300060,苏州恒久,2010/3/10 0:00,
采掘,000006,深振业A,2015/10/1 0:00,
采掘,000159,国际实业,2011/10/10 0:00,
采掘,000409,山东地矿,2013/7/1 0:00,
采掘,000552,靖远煤电,2008/6/2 0:00,
采掘,000571,新大洲A,2011/10/10 0:00,
采掘,000629,攀钢钒钛,2015/10/31 0:00,
采掘,000655,金岭矿业,2015/10/31 0:00,
采掘,000723,美锦能源,2008/6/2 0:00,
采掘,000762,西藏矿业,2008/6/2 0:00,
采掘,000780,平庄能源,2015/11/2 0:00,
采掘,000933,神火股份,2015/11/2 0:00,
采掘,000937,冀中能源,2015/11/2 0:00,
采掘,000968,*ST煤气,2008/6/2 0:00,
采掘,000983,西山煤电,2015/10/26 0:00,
采掘,002128,露天煤业,2015/11/2 0:00,
采掘,002207,准油股份,2016/4/13 0:00,
采掘,002554,惠博普,2016/1/28 0:00,
采掘,002629,仁智油服,2011/10/26 0:00,
采掘,002738,中矿资源,2014/12/19 0:00,
采掘,300157,恒泰艾普,2016/4/13 0:00,
采掘,300164,通源石油,2016/4/13 0:00,
采掘,300191,潜能恒信,2016/4/13 0:00,
采掘,300370,安控科技,2016/4/13 0:00,
采掘,600121,郑州煤电,2008/6/2 0:00,
采掘,600123,兰花科创,2015/10/26 0:00,
采掘,600157,永泰能源,2015/11/2 0:00,
采掘,600179,ST黑化,2008/6/2 0:00,
采掘,600188,兖州煤业,2015/11/2 0:00,
采掘,600193,创兴资源,2015/10/1 0:00,
采掘,600295,鄂尔多斯,2013/7/1 0:00,
采掘,600348,阳泉煤业,2015/11/2 0:00,
采掘,600381,青海春天,2009/6/1 0:00,
采掘,600395,盘江股份,2015/10/26 0:00,
采掘,600397,安源煤业,2015/10/26 0:00,
采掘,600403,大有能源,2015/10/26 0:00,
采掘,600408,安泰集团,2008/6/2 0:00,
采掘,600508,上海能源,2015/10/26 0:00,
采掘,600532,宏达矿业,2011/10/10 0:00,
采掘,600546,山煤国际,2015/11/2 0:00,
采掘,600583,海油工程,2015/8/14 0:00,
采掘,600714,金瑞矿业,2011/10/10 0:00,
采掘,600721,*ST百花,2011/10/10 0:00,
采掘,600740,山西焦化,2008/6/2 0:00,
采掘,600759,洲际油气,2015/8/14 0:00,
采掘,600792,云煤能源,2015/10/26 0:00,
采掘,600871,石化油服,2015/8/14 0:00,
采掘,600882,华联矿业,2011/10/10 0:00,
采掘,600971,恒源煤电,2008/6/2 0:00,
采掘,600997,开滦股份,2008/6/2 0:00,
采掘,601001,大同煤业,2008/6/2 0:00,
采掘,601011,宝泰隆,2011/2/23 0:00,
采掘,601015,陕西黑猫,2014/10/24 0:00,
采掘,601088,中国神华,2015/11/2 0:00,
采掘,601101,昊华能源,2010/3/15 0:00,
采掘,601225,陕西煤业,2015/10/26 0:00,
采掘,601666,平煤股份,2015/11/2 0:00,
采掘,601699,潞安环能,2015/10/26 0:00,
采掘,601808,中海油服,2015/8/14 0:00,
采掘,601857,中国石油,2015/8/14 0:00,
采掘,601898,中煤能源,2015/11/2 0:00,
采掘,601918,国投新集,2015/11/2 0:00,
采掘,601969,海南矿业,2014/11/25 0:00,
采掘,603979,金诚信,2015/6/18 0:00,
传媒,000156,华数传媒,2015/8/4 18:11,
传媒,000503,海虹控股,2015/8/4 0:00,
传媒,000504,南华生物,2014/1/1 0:01,
传媒,000607,华媒控股,2015/7/1 0:00,
传媒,000665,湖北广电,2014/1/1 0:01,
传媒,000673,当代东方,2015/11/2 0:00,
传媒,000681,视觉中国,2015/11/2 0:00,
传媒,000719,大地传媒,2014/1/1 0:01,
传媒,000793,华闻传媒,2014/1/1 0:01,
传媒,000835,长城动漫,2015/7/1 0:00,
传媒,000917,电广传媒,2014/1/1 0:01,
传媒,002071,长城影视,2015/11/2 0:00,
传媒,002095,生意宝,2014/1/1 0:01,
传媒,002131,利欧股份,2015/11/2 0:00,
传媒,002143,印纪传媒,2015/11/2 0:00,
传媒,002148,北纬通信,2015/11/2 0:00,
传媒,002174,游族网络,2016/2/3 0:00,
传媒,002181,粤传媒,2014/1/1 0:01,
传媒,002238,天威视讯,2015/11/2 0:00,
传媒,002261,拓维信息,2015/8/4 18:11,
传媒,002292,奥飞娱乐,2015/11/2 0:00,
传媒,002315,焦点科技,2014/1/1 0:01,
传媒,002354,天神娱乐,2016/2/3 0:00,
传媒,002400,省广股份,2015/8/4 18:11,
传媒,002555,三七互娱,2016/2/3 0:00,
传媒,002624,完美环球,2015/11/2 0:00,
传媒,002712,思美传媒,2014/1/8 0:01,
传媒,002739,万达院线,2015/11/2 0:00,
传媒,300027,华谊兄弟,2015/11/2 0:00,
传媒,300043,互动娱乐,2015/11/3 0:00,
传媒,300052,中青宝,2014/1/1 0:01,
传媒,300058,蓝色光标,2015/11/2 0:00,
传媒,300059,东方财富,2015/12/31 0:00,
传媒,300071,华谊嘉信,2015/11/2 0:00,
传媒,300104,乐视网,2015/11/2 0:00,
传媒,300113,顺网科技,2015/11/2 0:00,
传媒,300133,华策影视,2015/11/2 0:00,
传媒,300148,天舟文化,2015/8/4 18:11,
传媒,300226,上海钢联,2014/1/1 0:01,
传媒,300242,明家联合,2015/11/2 0:00,
传媒,300251,光线传媒,2015/11/2 0:00,
传媒,300288,朗玛信息,2015/11/2 0:00,
传媒,300291,华录百纳,2015/11/2 0:00,
传媒,300295,三六五网,2015/11/2 0:00,
传媒,300315,掌趣科技,2015/11/2 0:00,
传媒,300336,新文化,2015/11/2 0:00,
传媒,300359,全通教育,2015/11/2 0:00,
传媒,300364,中文在线,2015/11/2 0:00,
传媒,300383,光环新网,2015/11/3 0:00,
传媒,300392,腾信股份,2015/11/2 0:00,
传媒,300418,昆仑万维,2016/2/3 0:00,
传媒,300426,唐德影视,2015/11/2 0:00,
传媒,300431,暴风科技,2015/11/2 0:00,
传媒,300494,盛天网络,2016/1/7 0:00,
传媒,600037,歌华有线,2015/11/2 0:00,
传媒,600088,中视传媒,2014/1/1 0:01,
传媒,600373,中文传媒,2015/8/4 0:00,
传媒,600386,北巴传媒,2016/4/1 0:00,
传媒,600551,时代出版,2014/1/1 0:01,
传媒,600633,浙报传媒,2014/1/1 0:01,
传媒,600637,东方明珠,2015/11/2 0:00,
传媒,600652,游久游戏,2015/7/1 0:00,
传媒,600661,新南洋,2015/11/2 0:00,
传媒,600715,文投控股,2015/11/2 0:00,
传媒,600757,长江传媒,2014/1/1 0:01,
传媒,600804,鹏博士,2015/11/3 0:00,
传媒,600825,新华传媒,2014/1/1 0:01,
传媒,600831,广电网络,2014/1/1 0:01,
传媒,600880,博瑞传播,2015/11/2 0:00,
传媒,600959,江苏有线,2015/11/2 0:00,
传媒,601098,中南传媒,2016/2/3 0:00,
传媒,601801,皖新传媒,2016/2/3 0:00,
传媒,601900,南方传媒,2016/2/3 0:00,
传媒,601928,凤凰传媒,2016/2/19 0:00,
传媒,601929,吉视传媒,2014/1/1 0:01,
传媒,601999,出版传媒,2014/1/1 0:01,
传媒,603000,人民网,2015/11/2 0:00,
传媒,603598,引力传媒,2015/5/25 0:00,
传媒,603729,龙韵股份,2015/3/9 0:00,
传媒,603999,读者传媒,2015/12/23 0:00,
电气设备,000400,许继电气,2015/8/14 0:00,
电气设备,000585,东北电气,2014/1/1 0:01,
电气设备,000682,东方电子,2014/1/1 0:01,
电气设备,000806,银河生物,2014/1/1 0:01,
电气设备,000922,佳电股份,2014/1/1 0:01,
电气设备,000967,盈峰环境,2014/1/1 0:01,
电气设备,002028,思源电气,2014/1/1 0:01,
电气设备,002058,威尔泰,2014/1/1 0:01,
电气设备,002074,国轩高科,2015/8/28 2:08,
电气设备,002090,金智科技,2014/1/1 0:01,
电气设备,002112,三变科技,2016/4/8 15:17,
电气设备,002121,科陆电子,2015/10/16 0:00,
电气设备,002123,荣信股份,2015/11/3 0:00,
电气设备,002168,深圳惠程,2014/1/1 0:01,
电气设备,002169,智光电气,2014/1/1 0:01,
电气设备,002176,江特电机,2014/1/1 0:01,
电气设备,002184,海得控制,2014/1/1 0:01,
电气设备,002196,方正电机,2014/1/1 0:01,
电气设备,002202,金风科技,2015/8/14 0:00,
电气设备,002212,南洋股份,2014/1/1 0:01,
电气设备,002218,拓日新能,2015/10/26 0:00,
电气设备,002227,奥特迅,2014/1/1 0:01,
电气设备,002249,大洋电机,2015/8/14 0:00,
电气设备,002255,海陆重工,2014/1/1 0:01,
电气设备,002266,浙富控股,2015/10/31 0:00,
电气设备,002276,万马股份,2014/1/1 0:01,
电气设备,002298,中电鑫龙,2016/3/30 12:48,
电气设备,002300,太阳电缆,2014/1/1 0:01,
电气设备,002309,中利科技,2015/10/31 0:00,
电气设备,002322,理工监测,2014/1/1 0:01,
电气设备,002323,雅百特,2015/11/5 0:00,
电气设备,002334,英威腾,2016/3/25 16:19,
电气设备,002335,科华恒盛,2015/8/14 0:00,
电气设备,002339,积成电子,2015/11/2 0:00,
电气设备,002350,北京科锐,2015/10/16 0:00,
电气设备,002356,浩宁达,2014/1/1 0:01,
电气设备,002358,森源电气,2015/10/16 0:00,
电气设备,002359,齐星铁塔,2014/1/1 0:01,
电气设备,002364,中恒电气,2016/1/19 0:00,
电气设备,002441,众业达,2014/1/1 0:01,
电气设备,002451,摩恩电气,2014/1/1 0:01,
电气设备,002452,长高集团,2014/1/1 0:01,
电气设备,002471,中超控股,2014/1/1 0:01,
电气设备,002498,汉缆股份,2014/1/1 0:01,
电气设备,002506,协鑫集成,2014/1/1 0:00,
电气设备,002518,科士达,2015/10/26 0:00,
电气设备,002527,新时达,2014/1/1 0:01,
电气设备,002531,天顺风能,2015/10/31 0:00,
电气设备,002533,金杯电工,2014/1/1 0:01,
电气设备,002534,杭锅股份,2016/1/18 13:53,
电气设备,002546,新联电子,2015/9/15 16:54,
电气设备,002560,通达股份,2014/1/1 0:01,
电气设备,002576,通达动力,2014/1/1 0:01,
电气设备,002580,圣阳股份,2016/3/15 10:33,
电气设备,002606,大连电瓷,2014/1/1 0:01,
电气设备,002610,爱康科技,2015/10/26 0:00,
电气设备,002617,露笑科技,2014/1/1 0:01,
电气设备,002622,永大集团,2014/1/1 0:01,
电气设备,002630,华西能源,2014/1/1 0:01,
电气设备,002665,首航节能,2015/11/2 16:42,
电气设备,002692,远程电缆,2014/1/1 0:01,
电气设备,002706,良信电器,2014/1/8 0:01,
电气设备,002733,雄韬股份,2014/11/25 0:00,
电气设备,002767,先锋电子,2015/6/15 0:00,
电气设备,300001,特锐德,2015/10/16 0:00,
电气设备,300011,鼎汉技术,2015/10/26 0:00,
电气设备,300018,中元华电,2014/1/1 0:01,
电气设备,300029,天龙光电,2014/1/1 0:01,
电气设备,300040,九洲电气,2014/1/1 0:01,
电气设备,300048,合康变频,2015/12/14 9:50,
电气设备,300062,中能电气,2016/1/21 10:23,
电气设备,300068,南都电源,2015/10/16 0:00,
电气设备,300069,金利华电,2014/1/1 0:01,
电气设备,300105,龙源技术,2014/1/1 0:01,
电气设备,300111,向日葵,2014/1/1 0:01,
电气设备,300118,东方日升,2014/1/1 0:01,
电气设备,300120,经纬电材,2014/1/1 0:01,
电气设备,300124,汇川技术,2014/1/1 0:01,
电气设备,300129,泰胜风能,2015/10/31 0:00,
电气设备,300140,启源装备,2015/11/2 0:00,
电气设备,300141,和顺电气,2014/1/1 0:01,
电气设备,300153,科泰电源,2014/1/1 0:01,
电气设备,300208,恒顺众昇,2014/1/1 0:01,
电气设备,300215,电科院,2015/10/16 0:00,
电气设备,300222,科大智能,2014/1/1 0:01,
电气设备,300265,通光线缆,2015/8/4 0:00,
电气设备,300274,阳光电源,2015/8/28 2:09,
电气设备,300283,温州宏丰,2014/1/1 0:01,
电气设备,300286,安科瑞,2015/12/21 0:00,
电气设备,300308,中际装备,2015/10/31 0:00,
电气设备,300316,晶盛机电,2015/10/26 0:00,
电气设备,300341,麦迪电气,2014/1/1 0:01,
电气设备,300356,光一科技,2015/10/31 0:00,
电气设备,300360,炬华科技,2016/2/19 0:00,
电气设备,300362,天翔环境,2015/10/26 0:00,
电气设备,300372,欣泰电气,2014/1/8 0:01,
电气设备,300376,易事特,2015/10/26 0:00,
电气设备,300393,中来股份,2015/10/26 0:00,
电气设备,300407,凯发电气,2016/2/19 0:00,
电气设备,300414,中光防雷,2015/5/6 0:00,
电气设备,300423,鲁亿通,2015/2/15 0:00,
电气设备,300427,红相电力,2015/11/2 0:00,
电气设备,300444,双杰电气,2015/4/13 0:00,
电气设备,300447,全信股份,2015/4/13 0:00,
电气设备,300466,赛摩电气,2015/5/25 0:00,
电气设备,300477,合纵科技,2015/6/15 0:00,
电气设备,300490,华自科技,2016/3/25 16:17,
电气设备,300491,通合科技,2016/1/5 9:12,
电气设备,600089,特变电工,2015/10/26 0:00,
电气设备,600110,诺德股份,2014/1/1 0:01,
电气设备,600112,天成控股,2015/8/4 0:00,
电气设备,600151,航天机电,2014/1/1 0:01,
电气设备,600192,长城电工,2014/1/1 0:01,
电气设备,600202,哈空调,2014/1/1 0:01,
电气设备,600268,国电南自,2014/1/1 0:01,
电气设备,600290,华仪电气,2014/1/1 0:01,
电气设备,600312,平高电气,2015/8/14 0:00,
电气设备,600353,旭光股份,2014/1/1 0:01,
电气设备,600379,宝光股份,2014/1/1 0:01,
电气设备,600401,*ST海润,2015/10/26 0:00,
电气设备,600405,动力源,2014/1/1 0:01,
电气设备,600406,国电南瑞,2015/8/14 0:00,
电气设备,600416,湘电股份,2014/1/1 0:01,
电气设备,600468,百利电气,2014/1/1 0:01,
电气设备,600475,华光股份,2014/1/1 0:01,
电气设备,600517,置信电气,2015/10/26 0:00,
电气设备,600525,长园集团,2016/2/19 0:00,
电气设备,600537,亿晶光电,2015/10/26 0:00,
电气设备,600550,保变电气,2014/1/1 0:01,
电气设备,600580,卧龙电气,2014/1/1 0:01,
电气设备,600590,泰豪科技,2015/10/31 0:00,
电气设备,600847,万里股份,2014/1/1 0:01,
电气设备,600869,智慧能源,2014/1/1 0:01,
